==== Log started at [14/11/25 03:09:57] ====
[14/11/25 03:09:57] PartRequestManager initialized.
[14/11/25 03:09:57] PartRequestManager thread started. Polling file every 5000ms.
[14/11/25 03:10:08] GUI added new request: PartRequest[requestID=Task-1, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:15] GUI added new request: PartRequest[requestID=Task-2, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:17] GUI added new request: PartRequest[requestID=Task-3, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:19] GUI added new request: PartRequest[requestID=Task-4, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:22] GUI added new request: PartRequest[requestID=Task-5, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:23] GUI added new request: PartRequest[requestID=Task-6, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:25] GUI added new request: PartRequest[requestID=Task-7, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:29] GUI added new request: PartRequest[requestID=Task-8, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:31] GUI added new request: PartRequest[requestID=Task-9, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:32] GUI added new request: PartRequest[requestID=Task-10, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:34] GUI added new request: PartRequest[requestID=Task-11, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
