==== Log started at [14/11/25 03:36:23] ====
[14/11/25 03:36:23] PartRequestManager initialized.
[14/11/25 03:36:23] PartRequestManager thread started. Polling file every 5000ms.
[14/11/25 03:36:24] GUI added new request: PartRequest[requestID=Task-1, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:27] GUI added new request: PartRequest[requestID=Task-2, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:29] GUI added new request: PartRequest[requestID=Task-3, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:31] GUI added new request: PartRequest[requestID=Task-4, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:32] GUI added new request: PartRequest[requestID=Task-5, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:39] GUI added new request: PartRequest[requestID=Task-6, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:43] GUI added new request: PartRequest[requestID=Task-7, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:48] GUI added new request: PartRequest[requestID=Task-8, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:51] GUI added new request: PartRequest[requestID=Task-9, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:57] GUI added new request: PartRequest[requestID=Task-10, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:36:59] GUI added new request: PartRequest[requestID=Task-11, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:04] GUI added new request: PartRequest[requestID=Task-12, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:06] GUI added new request: PartRequest[requestID=Task-13, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:07] GUI added new request: PartRequest[requestID=Task-14, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:29] GUI added new request: PartRequest[requestID=Task-15, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:31] GUI added new request: PartRequest[requestID=Task-16, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:33] GUI added new request: PartRequest[requestID=Task-17, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:34] GUI added new request: PartRequest[requestID=Task-18, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:36] GUI added new request: PartRequest[requestID=Task-19, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:38] GUI added new request: PartRequest[requestID=Task-20, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:39] GUI added new request: PartRequest[requestID=Task-21, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:41] GUI added new request: PartRequest[requestID=Task-22, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:44] GUI added new request: PartRequest[requestID=Task-23, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:46] GUI added new request: PartRequest[requestID=Task-24, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:47] GUI added new request: PartRequest[requestID=Task-25, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:50] GUI added new request: PartRequest[requestID=Task-26, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:52] GUI added new request: PartRequest[requestID=Task-27, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:53] GUI added new request: PartRequest[requestID=Task-28, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:55] GUI added new request: PartRequest[requestID=Task-29, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:37:58] GUI added new request: PartRequest[requestID=Task-30, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:00] GUI added new request: PartRequest[requestID=Task-31, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:01] GUI added new request: PartRequest[requestID=Task-32, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:05] GUI added new request: PartRequest[requestID=Task-33, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:06] GUI added new request: PartRequest[requestID=Task-34, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:08] GUI added new request: PartRequest[requestID=Task-35, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:10] GUI added new request: PartRequest[requestID=Task-36, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:38:11] GUI added new request: PartRequest[requestID=Task-37, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:40:10] GUI added new request: PartRequest[requestID=Task-38, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:40:19] GUI added new request: PartRequest[requestID=Task-39, part=Part[partID=P1A008, name=Taillight Bulb, description=P21W bulb], neededQuantity=1, status=PENDING]
[14/11/25 03:40:22] GUI added new request: PartRequest[requestID=Task-40, part=Part[partID=P1A008, name=Taillight Bulb, description=P21W bulb], neededQuantity=1, status=PENDING]
